duty,salary,url,company,publish,address,position
"<span class=""label"">职位描述：</span>",15-20万/年,http://jobs.51job.com/nanjing-pkq/66114767.html?s=0,南京药石科技股份有限公司,10-09,南京-浦口区,工艺化学高级研究员
"<span class=""label"">职位描述：</span>",10000-14999/月,http://jobs.51job.com/nanjing-jyq/76035559.html?s=0,华耐家居苏皖销区,10-09,南京-建邺区,店面经理
"<span class=""label"">职位描述：</span>",120000-200000/年,http://jobs.51job.com/wuxi/80561805.html?s=0,美的集团洗衣机事业部,10-09,异地招聘,NVH研究工程师
"<span class=""label"">职位描述：</span>",10000-14999/月,http://jobs.51job.com/nanjing-yhtq/75114882.html?s=0,江苏亿嘉和信息科技有限公司,08-14,南京-雨花台区,图像算法工程师
"<span class=""label"">职位描述：</span>",15000-19999/月,http://jobs.51job.com/nanjing/69203070.html?s=0,通联支付网络服务股份有限公司,08-25,南京,高级Java研发工程师
"<span class=""label"">职位描述：</span>",15000-19999/月,http://jobs.51job.com/nanjing-jyq/80448390.html?s=0,深圳星桥数据技术有限公司,09-02,南京-建邺区,JAVA研发工程师
"<span class=""label"">职位描述：</span>",10000-14999/月,http://jobs.51job.com/nanjing-yhtq/81338931.html?s=0,深圳市网新新思软件有限公司,09-06,南京-雨花台区,java中级软件开发，三年以上实际经验
"<span class=""label"">职位描述：</span>",10000-14999/月,http://jobs.51job.com/nanjing/75510723.html?s=0,江苏省电子商务服务中心有限责任公司,09-19,南京,JAVA中级程序员
"<span class=""label"">职位描述：</span>",20-30万/年,http://jobs.51job.com/nanjing-jyq/70589823.html?s=0,万得信息技术股份有限公司（Wind资讯）,09-24,南京-建邺区,高级软件工程师（搜索引擎）
"<span class=""label"">职位描述：</span>",13000-26000/月,http://jobs.51job.com/nanjing/78026037.html?s=0,中盈优创资讯科技有限公司,09-24,南京,产品经理
"<span class=""label"">职位描述：</span>",10000-20000/月,http://jobs.51job.com/nanjing-qhq/75062206.html?s=0,南京孚邦信息系统有限责任公司,09-26,南京-秦淮区,腾讯江苏运营中心诚聘微信企业号产品经理
"<span class=""label"">职位描述：</span>",10000-20000/月,http://jobs.51job.com/nanjing-jyq/70193284.html?s=0,南京臻丰信安信息科技有限公司,09-29,南京-建邺区,诚聘Java软件工程师
"<span class=""label"">职位描述：</span>",10000-25000/月,http://jobs.51job.com/nanjing/78209234.html?s=0,苏宁云商集团股份有限公司,09-30,南京,媒介策略经理(001825)
"<span class=""label"">职位描述：</span>",10000-20000/月,http://jobs.51job.com/nanjing-yhtq/80418174.html?s=0,上海秦苍信息科技有限公司,09-30,南京-雨花台区,JAVA开发工程师
"<span class=""label"">职位描述：</span>",10000-14999/月,http://jobs.51job.com/nanjing-yhtq/69792901.html?s=0,成都四方伟业软件股份有限公司,10-04,南京-雨花台区,需求工程师
"<span class=""label"">职位描述：</span>",10000-14999/月,http://jobs.51job.com/nanjing-yhtq/78481561.html?s=0,东软集团股份有限公司,10-08,南京-雨花台区,咨询顾问（电警产品销售）
"<span class=""label"">职位描述：</span>",10000-14999/月,http://jobs.51job.com/nanjing-glq/81853949.html?s=0,南京通达海信息技术有限公司,10-08,南京-鼓楼区,hadoop研发工程师
"<span class=""label"">职位描述：</span>",10000-14999/月,http://jobs.51job.com/nanjing/67603255.html?s=0,南京远光广安信息科技有限公司,10-09,南京,工程实施管理部—中级软件工程师
"<span class=""label"">职位描述：</span>",14000-16000/月,http://jobs.51job.com/nanjing/81878449.html?s=0,五星金服控股有限公司,10-09,南京,Andriod开发工程师
"<span class=""label"">职位描述：</span>",10000-14999/月,http://jobs.51job.com/nanjing/73689017.html?s=0,四川百利天恒药业股份有限公司,10-09,南京,OTC控销地总（新型特色疗法）—江苏全省各地市
"<span class=""label"">职位描述：</span>",25000-29999/月,http://jobs.51job.com/nanjing/77227628.html?s=0,北京腾信软创科技股份有限公司,10-09,南京,高级客户经理(银行金融方向)
"<span class=""label"">职位描述：</span>",10000-14999/月,http://jobs.51job.com/nanjing/71223746.html?s=0,江苏五星电器有限公司,10-09,南京,数据库工程师
"<span class=""label"">职位描述：</span>",100000-300000/年,http://jobs.51job.com/nanjing-jnq/74696085.html?s=0,江苏曙光信息技术有限公司,10-09,南京-江宁区,销售经理
"<span class=""label"">职位描述：</span>",10-15万/年,http://jobs.51job.com/nanjing-yhtq/75171466.html?s=0,胜斐迩仓储系统有限公司 Schaefer Systems International,10-09,南京-雨花台区,IT 项目工程师
"<span class=""label"">职位描述：</span>",10000-14999/月,http://jobs.51job.com/nanjing/80987162.html?s=0,南京丰盛产业控股集团有限公司,10-09,南京,衍丰公司产品经理
"<span class=""label"">职位描述：</span>",10000-14999/月,http://jobs.51job.com/nanjing-yhtq/74838421.html?s=0,南京中软卓训信息技术有限公司,10-09,南京-雨花台区,测试讲师
"<span class=""label"">职位描述：</span>",20-30万/年,http://jobs.51job.com/overseas/67224887.html?s=0,青岛联凯国际贸易有限公司,10-09,异地招聘,赴非洲—工程项目投标工程师
"<span class=""label"">职位描述：</span>",10000-14999/月,http://jobs.51job.com/nanjing/60880934.html?s=0,江苏新业科技投资发展有限公司,10-09,南京,体育场馆馆长
"<span class=""label"">职位描述：</span>",10000-14999/月,http://jobs.51job.com/nanjing/80768448.html?s=0,颐海（上海）食品有限公司,10-09,南京,销售主管（海底捞调味品业务）
"<span class=""label"">职位描述：</span>",30-40万/年,http://jobs.51job.com/nanjing/76554718.html?s=0,基蛋生物科技股份有限公司,10-09,南京,诊断试剂研发总监/海外高级研发人员
"<span class=""label"">职位描述：</span>",60元/小时,http://jobs.51job.com/nanjing/75896372.html?s=0,正人国际艺术教育集团,10-09,南京,少儿乐器教师
"<span class=""label"">职位描述：</span>",10-15万/年,http://jobs.51job.com/guiyang/79514030.html?s=0,中兴软创科技股份有限公司,10-09,异地招聘,解决方案经理（行业信息化）
"<span class=""label"">职位描述：</span>",10000-14999/月,http://jobs.51job.com/nanjing/73674506.html?s=0,南京魔盒信息科技有限公司,10-08,南京,Java高级开发工程师
"<span class=""label"">职位描述：</span>",10000-14999/月,http://jobs.51job.com/nanjing/66656120.html?s=0,南京中新赛克科技有限责任公司,10-08,南京,数据分析工程师
"<span class=""label"">职位描述：</span>",15-20万/年,http://jobs.51job.com/nanjing/76644419.html?s=0,亚信科技（中国）有限公司,10-09,南京,TSG_高级Linux C/C++开发工程师
"<span class=""label"">职位描述：</span>",100000-200000/年,http://jobs.51job.com/nanjing-yhtq/69214305.html?s=0,上海通华财富资产管理有限公司,10-09,南京-雨花台区,高级软件开发工程师
